index,experiment_num,sem_mean,sem_median,sem_std,summ1_mean,summ1_median,summ1_std,summ2_mean,summ2_median,summ2_std
50,047,21.819688109161792,17.0,14.456061381922403,10.433723196881092,9.0,5.380499413797034,8.181286549707602,8.0,3.7354340157419923
119,048,21.291910331384017,17.0,14.517498070432545,10.274366471734893,9.0,5.366460103288013,9.074074074074074,8.0,4.237738830472032
28,049,21.480019493177387,17.0,14.520823172487184,8.060916179337232,8.0,3.9373064394134145,4.430799220272904,4.0,1.9761095654752856
106,050,21.269005847953217,17.0,14.528901722490563,10.229044834307992,9.0,5.345879220084064,10.130116959064328,9.0,5.250723001546658
123,051,21.4093567251462,17.0,14.485052406644783,4.499025341130604,4.0,2.186902866962354,4.349415204678363,4.0,2.0718998621163016
36,052,16.4715,13.0,13.682499521161086,5.1405,5.0,2.666517374301868,4.8035,5.0,2.397657634247545
56,053,21.819688109161792,17.0,14.456061381922403,10.45906432748538,9.0,5.38138626103423,10.298732943469785,9.0,5.192626730057248
150,054,21.819688109161792,17.0,14.456061381922403,10.433723196881092,9.0,5.380499413797034,10.188109161793372,9.0,5.162941773257346
21,055,21.291910331384017,17.0,14.517498070432545,10.274366471734893,9.0,5.366460103288013,10.210038986354776,9.0,5.261586003571505
15,056,21.480019493177387,17.0,14.520823172487184,8.060916179337232,8.0,3.9373064394134145,6.624756335282651,6.0,2.930784701315413
94,057,20.53898635477583,16.0,14.23635345424238,10.716861598440547,9.0,6.00870880197568,5.796783625730995,5.0,2.5125971043214386
95,058,20.99707459775719,16.0,14.508063064271242,4.239882983910288,4.0,2.0041393228328577,1.7479278400780107,1.0,0.9699581819802366
7,059,12.759832197168327,10.0,11.739923972161925,4.873099108547457,5.0,2.7838623912403193,2.751442055584688,3.0,1.1245107445741545
140,060,21.739766081871345,17.0,14.476751063323865,11.186647173489279,10.0,6.088711735340805,4.466374269005848,4.0,2.2588122922251124
158,061,21.73635477582846,17.0,14.478693098613686,11.114522417153996,10.0,6.050578594813718,3.9892787524366473,4.0,2.178052410425765
61,062,20.569688109161792,16.0,14.216426908751446,10.817738791423002,9.0,6.07517646191365,6.252436647173489,6.0,2.66212375460255
96,063,21.061921014139443,16.0,14.493751993341471,7.8941979522184305,7.0,4.265118930411191,2.3842028278888345,2.0,1.2659226215368886
