,experiment_num,sem_mean,sem_median,sem_std,summ1_mean,summ1_median,summ1_std,summ2_mean,summ2_median,summ2_std
39,122,38.24530663329161,17.0,46.63603434172603,4.5969962453066335,3.0,3.8349783096289123,1.7459324155193992,1.0,1.1357840304598699
85,123,38.28035043804756,17.0,46.640861127278534,6.478097622027534,3.0,6.824268090639036,1.72090112640801,1.0,1.5071928425546124
107,124,38.28035043804756,17.0,46.640861127278534,6.478097622027534,3.0,6.824268090639036,1.655819774718398,1.0,1.3537057826293941
124,125,38.28035043804756,17.0,46.640861127278534,6.478097622027534,3.0,6.824268090639036,1.553191489361702,1.0,1.2105889128508707
5,126,38.264080100125156,17.0,46.645241399704254,6.41927409261577,3.0,6.692357439195252,2.785982478097622,2.0,2.097379617007365
147,127,38.28035043804756,17.0,46.640861127278534,6.478097622027534,3.0,6.824268090639036,2.669586983729662,1.0,2.930432098743144
37,128,38.264080100125156,17.0,46.645241399704254,5.958698372966208,3.0,5.868401968341974,4.095118898623279,3.0,3.4504677979503766
135,129,38.24530663329161,17.0,46.63603434172603,4.5969962453066335,3.0,3.8349783096289123,2.8297872340425534,2.0,1.872118023662916
41,130,38.28035043804756,17.0,46.640861127278534,6.478097622027534,3.0,6.824268090639036,3.569461827284105,2.0,3.6058805473888422
52,131,38.28035043804756,17.0,46.640861127278534,6.478097622027534,3.0,6.824268090639036,3.2090112640801003,2.0,3.4608615698460654
100,132,38.28035043804756,17.0,46.640861127278534,6.478097622027534,3.0,6.824268090639036,3.0387984981226532,2.0,3.0290567045693435
136,133,38.264080100125156,17.0,46.645241399704254,6.41927409261577,3.0,6.692357439195252,4.501877346683354,3.0,3.914139138170405
59,134,38.28035043804756,17.0,46.640861127278534,6.478097622027534,3.0,6.824268090639036,5.3842302878598245,3.0,5.249542443556442
160,135,38.264080100125156,17.0,46.645241399704254,5.958698372966208,3.0,5.868401968341974,5.822277847309136,3.0,5.66247413691891
86,136,38.24530663329161,17.0,46.63603434172603,4.5969962453066335,3.0,3.8349783096289123,4.088861076345432,3.0,3.1153051849639066
77,137,38.28035043804756,17.0,46.640861127278534,6.478097622027534,3.0,6.824268090639036,6.260325406758448,3.0,6.4669830732279125
53,138,38.28035043804756,17.0,46.640861127278534,6.478097622027534,3.0,6.824268090639036,6.108886107634543,3.0,6.301283525677302
62,139,38.28035043804756,17.0,46.640861127278534,6.478097622027534,3.0,6.824268090639036,5.843554443053817,3.0,5.94433707320057
116,140,38.264080100125156,17.0,46.645241399704254,6.41927409261577,3.0,6.692357439195252,5.928660826032541,3.0,5.867686208161479
146,141,37.80325814536341,17.0,45.773707085918666,13.104010025062657,6.0,15.141671713965417,3.130325814536341,2.0,2.623713430374591
105,142,37.43734335839599,17.0,45.26418155622313,6.598997493734336,5.0,5.466182012540569,2.9649122807017543,3.0,1.9216189143583167
75,143,34.621383647798744,17.0,40.954312513438026,4.844025157232704,4.0,3.7882655754177645,2.036477987421384,2.0,1.1897664707275462
126,144,37.80325814536341,17.0,45.773707085918666,13.426065162907268,6.0,15.794760254555472,3.036340852130326,2.0,2.84213372477809
88,145,37.80325814536341,17.0,45.773707085918666,13.401002506265664,6.0,15.743859379233154,3.1215538847117794,2.0,2.586813698479968
92,146,37.80325814536341,17.0,45.773707085918666,13.354636591478696,6.0,15.648773521541434,3.12531328320802,2.0,2.8477618215574485
101,147,37.74310776942356,17.0,45.724124153469816,10.520050125313283,6.0,10.778084274342861,3.0852130325814535,2.0,2.5948035886110117
31,148,37.80325814536341,17.0,45.773707085918666,13.104010025062657,6.0,15.141671713965417,5.641604010025063,3.0,5.311087659704739
0,149,37.43734335839599,17.0,45.26418155622313,6.598997493734336,5.0,5.466182012540569,3.6967418546365916,3.0,2.6551272641789256
111,150,34.621383647798744,17.0,40.954312513438026,4.844025157232704,4.0,3.7882655754177645,2.452830188679245,2.0,1.5185590462412877
30,151,37.80325814536341,17.0,45.773707085918666,13.426065162907268,6.0,15.794760254555472,5.862155388471178,3.0,5.901623141118805
18,152,37.80325814536341,17.0,45.773707085918666,13.401002506265664,6.0,15.743859379233154,5.697994987468672,3.0,5.321792604654093
24,153,37.80325814536341,17.0,45.773707085918666,13.354636591478696,6.0,15.648773521541434,5.704260651629073,3.0,5.7427282603088265
51,154,37.74310776942356,17.0,45.724124153469816,10.520050125313283,6.0,10.778084274342861,4.298245614035087,3.0,3.686085188909663
14,155,37.80325814536341,17.0,45.773707085918666,13.104010025062657,6.0,15.141671713965417,9.62781954887218,5.0,10.008557342735735
23,156,37.43734335839599,17.0,45.26418155622313,6.598997493734336,5.0,5.466182012540569,4.850877192982456,4.0,3.6174077913874467
35,157,34.621383647798744,17.0,40.954312513438026,4.844025157232704,4.0,3.7882655754177645,3.2968553459119496,3.0,2.2662628438770085
120,158,37.80325814536341,17.0,45.773707085918666,13.426065162907268,6.0,15.794760254555472,10.290726817042607,5.0,11.134432976783641
99,159,37.80325814536341,17.0,45.773707085918666,13.401002506265664,6.0,15.743859379233154,9.93734335839599,5.0,10.412138652907835
149,160,37.80325814536341,17.0,45.773707085918666,13.354636591478696,6.0,15.648773521541434,10.037593984962406,5.0,10.80875569732848
22,161,37.74310776942356,17.0,45.724124153469816,10.520050125313283,6.0,10.778084274342861,6.528822055137844,4.0,6.080682650535774
78,162,37.80325814536341,17.0,45.773707085918666,13.104010025062657,6.0,15.141671713965417,12.769423558897243,6.0,14.528195834197179
12,163,37.43734335839599,17.0,45.26418155622313,6.598997493734336,5.0,5.466182012540569,6.597744360902255,5.0,5.464597585844643
98,164,34.621383647798744,17.0,40.954312513438026,4.844025157232704,4.0,3.7882655754177645,4.620125786163522,4.0,3.407518355689288
58,165,37.80325814536341,17.0,45.773707085918666,13.426065162907268,6.0,15.794760254555472,13.290726817042607,6.0,15.504585122549768
25,166,37.80325814536341,17.0,45.773707085918666,13.401002506265664,6.0,15.743859379233154,13.071428571428571,6.0,15.093806575972112
131,167,37.80325814536341,17.0,45.773707085918666,13.354636591478696,6.0,15.648773521541434,13.06766917293233,6.0,15.096192855354285
137,168,37.74310776942356,17.0,45.724124153469816,10.520050125313283,6.0,10.778084274342861,10.00501253132832,6.0,10.32580789064822
